# Wavelength (nm), Intensity (colors)
175.94	1261.55
176.16	1261.55
176.38	1261.55
176.61	1236.97
176.83	1298.41
177.05	2681.35
177.27	2892.48
177.49	3140.09
177.71	3339.31
177.93	3583.39
178.15	3895.24
178.37	3777.94
178.59	3770.12
178.81	3747.97
179.03	3775.52
179.25	3776.27
179.47	3810.53
179.69	3769.75
179.91	3763.61
180.13	3786.69
180.35	3807.36
180.58	3690.63
180.80	3732.33
181.02	3648.36
181.24	3695.28
181.46	3724.70
181.68	3587.30
181.90	3572.40
182.12	3603.12
182.34	3566.07
182.56	3599.03
182.78	3488.81
183.00	3545.41
183.22	3580.41
183.44	3575.19
183.66	3561.60
183.88	3478.57
184.10	3445.43
184.32	3504.82
184.54	3522.69
184.76	3539.45
184.98	3505.19
185.20	3554.53
185.42	3609.64
185.64	3530.51
185.86	3593.44
186.08	3615.22
186.30	3702.54
186.52	3782.41
186.74	3872.15
186.96	3820.02
187.18	3840.50
187.40	3884.07
187.62	3972.50
187.84	3844.41
188.06	3844.60
188.28	3810.34
188.50	3818.53
188.72	3873.64
188.94	3801.59
189.16	3716.50
189.38	3749.83
189.60	3664.37
189.82	3553.78
190.04	3446.92
190.26	3435.00
190.48	3510.78
190.70	3547.08
190.92	3531.26
191.14	3442.26
191.36	3554.16
191.58	3482.48
191.80	3543.36
192.02	3573.89
192.24	3610.38
192.46	3636.63
192.68	3664.93
192.90	3593.81
193.12	3563.28
193.34	3572.77
193.56	3563.84
193.78	3425.69
194.00	3542.61
194.22	3496.63
194.44	3553.78
194.66	3588.97
194.88	3601.82
195.10	3634.03
195.32	3634.03
195.54	3671.08
195.76	3624.35
195.98	3697.51
196.20	3698.26
196.42	3553.41
196.64	3513.94
196.86	3445.43
197.08	3397.02
197.30	3360.53
197.51	3371.33
197.73	3387.53
197.95	3427.18
198.17	3553.60
198.39	3439.47
198.61	3445.43
198.83	3519.34
199.05	3521.39
199.27	3514.31
199.49	3614.66
199.71	3704.03
199.93	3636.45
200.15	3593.63
200.37	3525.30
200.59	3394.23
200.81	3409.50
201.03	3414.71
201.25	3386.60
201.46	3435.19
201.68	3435.00
201.90	3354.39
202.12	3324.60
202.34	3371.33
202.56	3464.79
202.78	3472.80
203.00	3497.56
203.22	3467.58
203.44	3513.76
