V(kV),Rin(cm),Rout(cm),ThetaIn(deg),ThetaOut(deg),Wavelength(angstrom),dIn(angstrom),dOut(angstrom),dIn Avg(ang),dOut Avg(ang)
2.5,1.4980000000000002,2.5660000000000003,0.055255438665975536,0.09391671935647887,0.2449489742783178,2.217642909786149,1.3059944818064375,2.195232352502324,1.279798816588631
2.7,1.464,2.522,0.0540111548674618,0.09234297659384101,0.23570226039551584,2.183038842793547,1.278048335145801,2.195232352502324,1.279798816588631
2.9,1.432,2.468,0.052839450140029415,0.09040903552053975,0.227429413073671,2.153081435597535,1.2594954382701755,2.195232352502324,1.279798816588631
3.1,1.368,2.39,0.05049430474296603,0.08761074349559655,0.21997067253202993,2.179098980360233,1.2569938265822171,2.195232352502324,1.279798816588631
3.3,1.334,2.31,0.04924753231837451,0.08473493022863417,0.21320071635561044,2.16545794966542,1.2595517583198237,2.195232352502324,1.279798816588631
3.5,1.298,2.276,0.04792675064995504,0.0835109820230431,0.20701966780270625,2.1605777499019525,1.2409175863747035,2.195232352502324,1.279798816588631
3.7,1.28,2.174,0.04726610697659202,0.0798331249185994,0.2013468165642073,2.1307213558821028,1.262388581073166,2.195232352502324,1.279798816588631
3.9,1.27,2.012,0.046899011027637126,0.07397402087992998,0.19611613513818404,2.091601110152996,1.3267841200541517,2.195232352502324,1.279798816588631
4.1,1.194,2.09,0.0441074521488419,0.0767977272799861,0.19127301391900148,2.1689650831139153,1.246528823498878,2.195232352502324,1.279798816588631
4.3,1.0659999999999998,1.962,0.03939972945911589,0.07216143777978536,0.1867718419094071,2.3708306556852503,1.2952488304126697,2.195232352502324,1.279798816588631
4.5,1.12,1.868,0.04138670226933691,0.0687486411154524,0.18257418583505536,2.2063405258439155,1.3288850604499474,2.195232352502324,1.279798816588631
4.7,1.05,1.8319999999999999,0.03881075436869674,0.0674398858120221,0.1786474002526241,2.302097185651959,1.3254981739221618,2.195232352502324,1.279798816588631
4.9,1.072,1.902,0.03962056696182409,0.06998381822345616,0.1749635530559413,2.208566798095238,1.2510495997420712,2.195232352502324,1.279798816588631
